№;spatialUnitID;spatial_unit_type_code;has_cad_number;number_of_cad_number;cad_number;cad_number_raw;geom_geometry;latitude;longitude;geocode_accuracy_code;geom_source;country_code;region_name;region_code;region_code_2;raion_name;raion_code;hromada_name;hromada_code;settlement_type;settlement_name;settlement_code;city_district_name;city_district_code;street_type;street_name;street_code;building_number;building_corpus;building_part;land_plot_number;address_object_type;garden_society_name;location_descriptio;area_m2;purpose_code_kvcpz;purpose_text_raw;purpose_group_code;purpose_group_name;purpose_group_source;electricity_access;electricity_power_kw;gas_access;water_supply_access;sewerage_access;road_access;slope_class;wetness;view_quality;has_building
1;82778080170;single;TRUE;1;8000000000:90:975:0004;;"SRID=4326;POINT(30.607879 50.356444)";50.356444;30.607879;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дарницький;UA80000000000210193;вулиця;Східна;;4;;;;building;Лісове;;585;;;5;Для індивідуального садівництва;manual;central;;by_street;borehole;none;paved;flat;dry;none;yes;TRUE
2;84361615250;single;TRUE;1;8000000000:66:556:0016;;"SRID=4326;POINT(30.580740 50.478476)";50.478476;30.580740;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дніпровський;UA80000000000479391;вулиця;19-та Садова;;71;;;;land_plot;Хімік;;367;;;5;Для індивідуального садівництва;manual;by street;;by_street;none;none;unpaved;flat;dry;none;no;FALSE
3;19287105240;single;TRUE;1;8000000000:75:168:0020;;"SRID=4326;POINT(30.326652 50.450971)";50.450971;30.326652;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Святошинський;UA80000000000875983;вулиця;Михайла Чалого;;25;;;;land_plot;;;1000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;by_street;central;central;paved;flat;dry;none;no;FALSE
4;56581911720;single;TRUE;1;8000000000:82:248:0121;;"SRID=4326;POINT(30.537137 50.411333)";50.411333;30.537137;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Печерський;;вулиця;Товарна;;14;;;;building;;;1000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;by_street;central;central;paved;gentle;dry;none;yes;TRUE
5;19945083410;single;TRUE;1;8000000000:62:146:0091;;"SRID=4326;POINT(30.589185 50.530985)";50.530985;30.589185;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Деснянський;UA80000000000336424;провулок;Ватутінський;;4;;;;land_plot;;;827;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;none;none;none;unpaved;flat;dry;none;no;FALSE
6;33026683430;single;TRUE;1;8000000000:62:177:0010;;"SRID=4326;POINT(30.585273 50.521962)";50.521962;30.585273;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Деснянський;UA80000000000336424;вулиця;Леніна;;43;;;;land_plot;;урочище Толока;1000;;;5;Для індивідуального садівництва;manual;by street;;by_street;none;none;paved;flat;dry;none;no;FALSE
7;17422628530;single;TRUE;1;8000000000:91:147:0003;;"SRID=4326;POINT(30.483275 50.458393)";50.458393;30.483275;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Шевченківський;UA80000000001078669;вулиця;Миколи Кравченка;;14;;;;building;;;1024;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;central;central;central;paved;flat;dry;none;yes;TRUE
8;36677859450;single;TRUE;1;8000000000:62:170:0006;;"SRID=4326;POINT(30.584833 50.523961)";50.523961;30.584833;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Деснянський;UA80000000000336424;вулиця;Справедливості;;1;;;;land_plot;;урочище Толока;1200;;;5;Для індивідуального садівництва;manual;by street;;by_street;none;none;unpaved;flat;dry;none;no;FALSE
9;65292809080;single;TRUE;1;3222485901:01:025:5087;;"SRID=4326;POINT(30.340594 50.442179)";50.442179;30.340594;rooftop;manual;UA;Київська область;UA32000000000030281;Києво-Святошинський;UA32000000000030281;;;село;Петропавлівська Борщагівка;UA32080050010035667;;;вулиця;Кооперативна;;68;;;;building;;;1299;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;none;none;none;unpaved;flat;dry;none;yes;TRUE
10;99688356300;group;TRUE;4;;8000000000:79:448:0055, 8000000000:79:448:0056, 8000000000:79:448:0058, 8000000000:79:448:0057;"SRID=4326;POINT(30.527165 50.380993)";50.380993;30.527165;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Армійська, 7 (-,а,б,в);;;;;;building;;;3632;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;by_street;none;none;paved;flat;dry;none;yes;TRUE
11;17381871750;single;TRUE;1;8000000000:78:423:0013;;"SRID=4326;POINT(30.49254 50.547279)";50.547279;30.49254;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Оболонський;UA80000000000551439 ;вулиця;Перша;;21;;;;land_plot;Чорнобилець-2001;;1000;;;5;Для індивідуального садівництва;manual;by street;;by_street;by street;by street;paved;flat;dry;none;no;FALSE
12;5094648050;single;TRUE;1;8000000000:72:488:0577;;"SRID=4326;POINT(30.467585 50.404505)";50.404505;30.467585;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Солом'янський;UA80000000000980793;вулиця;Медова;;177;;;;building;Фронтовик;;600;;;5;Для колективного садівництва;manual;central;;none;none;none;restriction;flat;dry;none;yes;TRUE
13;17133289200;single;TRUE;1;8000000000:79:256:0001;;"SRID=4326;POINT(30.52319 50.397437)";50.397437;30.52319;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Цимбалів Яр;;20/19;;;;building;;;1000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;central;central;central;paved;flat;dry;none;yes;TRUE
14;38382525340;single;TRUE;1;8000000000:72:528:0049;;"SRID=4326;POINT(30.453902 50.385057)";50.385057;30.453902;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Солом'янський;UA80000000000980793;вулиця;Московська;;40;;;;building;;;1900;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;central;central;central;paved;flat;dry;none;yes;TRUE
15;52167916730;single;TRUE;1;8000000000:75:103:0007;;"SRID=4326;POINT(30.338056 50.468794)";50.468794;30.338056;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Святошинський;UA80000000000875983;вулиця;Маршака;;62;;;;building;;;1000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;none;borehole;septic;unpaved;flat;dry;none;yes;TRUE
16;23962490370;single;TRUE;1;8000000000:85:488:0021;;"SRID=4326;POINT(30.437019 50.517059)";50.517059;30.437019;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Подільський;UA80000000000719633;вулиця;Олександра Бестужева;;45;;;;land_plot;;;565;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;by street;by street;by street;paved;flat;dry;none;no;FALSE
17;95639659780;single;TRUE;1;8000000000:75:752:0033;;"SRID=4326;POINT(30.389858 50.480451)";50.480451;30.389858;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Святошинський;UA80000000000875983;вулиця;Садова 4;;53;;;;building;Нивки;;502;;;5;Для колективного садівництва;manual;central;;by street;none;none;unpaved;flat;dry;none;yes;TRUE
18;39992974550;single;TRUE;1;8000000000:90:121:0204;;"SRID=4326;POINT(30.547564 50.344049)";50.344049;30.547564;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;;;;;;;;land_plot;;перетин вул. Академіка Заболотного та Столичного шосе;13539;;;9;Для будівництва та обслуговування будівель торгівлі;manual;by street;;by street;by street;by street;paved;flat;dry;none;no;FALSE
19;11380612920;single;TRUE;1;8000000000:79:132:0071;;"SRID=4326;POINT(30.493771 50.40738)";50.40738;30.493771;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Пролетарська,;;23-г;;;;land_plot;;;1000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;by street;by street;by street;paved;flat;dry;none;no;FALSE
20;58767767510;single;TRUE;1;8000000000:90:600:0004;;"SRID=4326;POINT(30.594638 50.356773)";50.356773;30.594638;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дарницький;UA80000000000210193;вулиця;Садова 115;;4;;;;building;Прибрежний;;425;;;5;Для індивідуального садівництва;manual;central;;none;none;none;unpaved;flat;near_water;water_view;yes;TRUE
21;30222736230;single;TRUE;1;8000000000:72:261:0026;;"SRID=4326;POINT(30.46864 50.404179)";50.404179;30.46864;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Солом'янський;UA80000000000980793;вулиця;Медова, 232;;232;;;;land_plot;Фронтовик;;400;;;5;Для колективного садівництва;manual;by street;;none;none;none;unpaved;flat;dry;none;no;FALSE
22;17121743620;single;TRUE;1;8000000000:62:202:0202;;"SRID=4326;POINT(30.568048 50.524492)";50.524492;30.568048;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Деснянський;UA80000000000336424;вулиця;Моложанська;;27;;;;land_plot;;;1000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;none;;none;none;none;restriction;flat;near_water;water_view;no;FALSE
23;91899718940;single;TRUE;1;8000000000:66:584:0019;;"SRID=4326;POINT(30.584208 50.473028)";50.473028;30.584208;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дніпровський;UA80000000000479391;вулиця;10 Садова;;90;;;;building;Деревообробник;;582;;;5;Для індивідуального садівництва;manual;central;;by_street;borehole;none;unpaved;flat;dry;none;yes;TRUE
24;7047055190;single;TRUE;1;8000000000:79:301:0034;;"SRID=4326;POINT(30.499852 50.388491)";50.388491;30.499852;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;проспект;40-річчя Жовтня;;87;В;;;building;;;3128;;;9;Для будівництва та обслуговування адміністративних будинків, офісних будівель компаній, які займаються підприємницькою діяльністю, пов'язаною з отриманням прибутку;manual;central;;by_street;central;central;paved;flat;dry;open_field;yes;TRUE
25;9156930940;group;TRUE;2;;8000000000:82:445:0157, 8000000000:82:445:0151;"SRID=4326;POINT(30.536274 50.396154)";50.396154;30.536274;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Єнісейська, 8 (-,а);;;;;;land_plot;;;2000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;by_street;by street;by street;paved;flat;dry;none;no;FALSE
26;67061964050;single;TRUE;1;3222486200:04:001:5548;;"SRID=4326;POINT(30.421797 50.387818)";50.387818;30.421797;rooftop;manual;UA;Київська область;UA32000000000030281;Києво-Святошинський;UA32000000000030281;;;село;Софіївська Борщагівка;UA32080050020065009;;;;;;;;;;land_plot;;;4675;;;15;Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості;manual;central;;none;none;none;paved;flat;dry;none;no;FALSE
27;85148168920;group;TRUE;2;;8000000000:79:094:0167, 8000000000:79:094:0166;"SRID=4326;POINT(30.519844 50.374365)";50.374365;30.519844;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Закарпатська;;26-б;;;;land_plot;;;1800;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;none;;none;none;none;unpaved;steep;dry;panoramic;no;FALSE
28;94333841980;single;TRUE;1;8000000000:79:118:0250;;"SRID=4326;POINT(30.52421 50.372887)";50.372887;30.52421;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Парникова;;3-б;;;;land_plot;;;998;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;by_street;by street;by street;unpaved;steep;dry;panoramic;yes;TRUE
29;68003063580;group;TRUE;3;;8000000000:79:142:0192, 8000000000:79:142:0191, 8000000000:79:142:XXXX;"SRID=4326;POINT(30.510951 50.404757)";50.404757;30.510951;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Деміївська, 12-(а,б);;;;;;land_plot;;;2500;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;by_street;by street;by street;paved;flat;dry;none;no;FALSE
30;62134981090;single;TRUE;1;8000000000:82:445:0147;;"SRID=4326;POINT(30.535884 50.396334)";50.396334;30.535884;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Столєтова;;14-а;;;;building;;;1000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;on_parcel;central;central;paved;flat;dry;none;yes;TRUE
31;94836400;single;TRUE;1;8000000000:79:483:0028;;"SRID=4326;POINT(30.442593 50.366341)";50.366341;30.442593;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Жулянська;;7-а;;;;land_plot;;;2926;;;9;Для будівництва та обслуговування будівель торгівлі;manual;by street;;by_street;by street;by street;paved;flat;dry;none;no;FALSE
32;46566871120;single;TRUE;1;8000000000:79:034:0009;;"SRID=4326;POINT(30.512649 50.421856)";50.421856;30.512649;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Ямська;;54;;;;building;;;965;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;central;central;central;paved;flat;dry;none;yes;TRUE
33;3350862410;single;TRUE;1;8000000000:79:168:0137;;"SRID=4326;POINT(30.530929 50.373002)";50.373002;30.530929;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Академіка Кащенка;;137;;;;land_plot;Мічурінець;;973;;;5;Для індивідуального садівництва;manual;central;;none;none;none;unpaved;gentle;dry;none;no;FALSE
34;2614903410;group;TRUE;2;;8000000000:90:039:0030, 8000000000:90:039:0075;"SRID=4326;POINT(30.549084 50.331555)";50.331555;30.549084;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;вул. Бродівська, 149-а, 143 б;;;;;;land_plot;;;1348;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;none;none;none;unpaved;flat;dry;none;no;FALSE
35;11458936260;group;TRUE;2;;8000000000:72:173:0023, 8000000000:72:173:0003;"SRID=4326;POINT(30.477309 50.417317)";50.417317;30.477309;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Солом'янський;UA80000000000980793;проспект;Лобановського Валерія;;62;;;;building;;;1281;;;5;Для індивідуального садівництва;manual;central;;by_street;by street;by street;paved;flat;dry;none;yes;TRUE
36;19503893420;single;TRUE;1;8000000000:82:415:0147;;"SRID=4326;POINT(30.536908 50.395366)";50.395366;30.536908;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Байкальська;;33;;;;land_plot;;;1000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;by_street;by street;by street;paved;flat;dry;none;no;FALSE
37;41114335720;single;TRUE;1;8000000000:90:056:0049;;"SRID=4326;POINT(30.546765 50.32935)";50.32935;30.546765;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Бродівська;;86;;;;building;;;900;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;central;borehole;unknown;unpaved;flat;dry;none;yes;TRUE
38;67525702300;single;TRUE;1;8000000000:72:501:0174;;"SRID=4326;POINT(30.452345 50.39916)";50.39916;30.452345;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Трояндова;;53;;;;land_plot;;;576;;;5;Для індивідуального садівництва;manual;by street;;none;none;none;unpaved;flat;dry;none;no;FALSE
39;10917815100;single;TRUE;1;8000000000:82:414:0201;;"SRID=4326;POINT(30.541528 50.37364)";50.37364;30.541528;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;проспект; Науки;;143;;;;building;;;1900;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;by_street;central;by street;paved;gentle;dry;none;yes;TRUE
40;10126903830;group;TRUE;2;;"8000000000:82:445:0098, 8000000000:82:445:0157
";"SRID=4326;POINT(30.535631 50.395877)";50.395877;30.535631;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Єнісейська;;8-а;;;;land_plot;;;2000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;by_street;by street;by street;paved;gentle;dry;none;no;FALSE
41;64106514240;group;TRUE;2;;"8000000000:79:217:0067, 8000000000:79:217:0112

";"SRID=4326;POINT(30.491035 50.40277)";50.40277;30.491035;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;провулок;Краматорський;;4-а;;;;building;;;2000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;central;central;central;paved;gentle;dry;panoramic;yes;TRUE
42;97181956660;single;TRUE;1;8000000000:79:241:0063;;"SRID=4326;POINT(30.524174 50.401459)";50.401459;30.524174;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Голосіївський;UA80000000000126643;вулиця;Ковельська;;3;;;;building;;;499;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;central;central;none;unpaved;flat;dry;none;yes;TRUE
43;71841332160;single;TRUE;1;8000000000:90:031:0102;;"SRID=4326;POINT(30.687816 50.352131)";50.352131;30.687816;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дарницький;UA80000000000210193;вулиця;Крилова;;97;;;;land_plot;;;500;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;none;none;none;unpaved;flat;dry;none;no;FALSE
44;98505942010;single;TRUE;1;8000000000:90:514:0010;;"SRID=4326;POINT(30.599516 50.373317)";50.373317;30.599516;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дарницький;UA80000000000210193;вулиця;Садова 154;;3;;;;building;Острівок;;864;;;5;Для індивідуального садівництва;manual;central;;none;borehole;none;unpaved;flat;near_water;none;yes;TRUE
45;24964801020;single;TRUE;1;3220882600:04:007:1408;;"SRID=4326;POINT(30.621816 50.35138)";50.35138;30.621816;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дарницький;UA80000000000210193;;;;;;;;land_plot;Злагода;;1193;;;5;Для індивідуального садівництва;manual;by street;;none;none;none;unpaved;flat;near_water;none;no;FALSE
46;77544027230;single;TRUE;1;8000000000:90:519:0025;;"SRID=4326;POINT(30.603626 50.371692)";50.371692;30.603626;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дарницький;UA80000000000210193;вулиця;Садова 156;;39;;;;building;Райдуга;;448;;;5;Для індивідуального садівництва;manual;central;;none;borehole;none;unpaved;flat;dry;none;yes;TRUE
47;64220453970;single;TRUE;1;8000000000:66:143:0021;;"SRID=4326;POINT(30.654942 50.440743)";50.440743;30.654942;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дніпровський;UA80000000000479391;вулиця;Новаторів;;40/1;;;;building;;;300;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;none;by street;by street;unpaved;flat;dry;none;yes;TRUE
48;91870389520;single;TRUE;1;8000000000:90:638:0004;;"SRID=4326;POINT(30.611167 50.350595)";50.350595;30.611167;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дарницький;UA80000000000210193;вулиця;Озерна;;2;24;;;building;Озерне;;527;;;5;Для індивідуального садівництва;manual;central;;none;borehole;none;unpaved;flat;near_water;none;yes;TRUE
49;98112473310;single;TRUE;1;8000000000:90:687:0099;;"SRID=4326;POINT(30.597297 50.380988)";50.380988;30.597297;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дарницький;UA80000000000210193;вулиця;Маслівка;;30-а;А;;;building;;;1000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;none;borehole;none;unpaved;flat;near_water;none;yes;TRUE
50;89352610850;single;TRUE;1;8000000000:90:680:0351;;"SRID=4326;POINT(30.592599 50.384155)";50.384155;30.592599;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дарницький;UA80000000000210193;вулиця;49-та Садова;;6;;;;building;Дніпро-1;;546,36;;;5;Для індивідуального садівництва;manual;central;;none;borehole;none;unpaved;flat;near_water;none;yes;TRUE
51;88971645920;single;TRUE;1;3220882600:03:004:0171;;"SRID=4326;POINT(30.721669 50.377576)";50.377576;30.721669;rooftop;manual;UA;Київська область;UA32000000000030281;Бориспільський;UA32040000000054694;Гнідинська;UA32040090010032835;сільська рада;;;;;;;;;;;;land_plot;;;1200;;;5;Для індивідуального садівництва;manual;central;;none;none;none;paved;flat;dry;none;no;FALSE
52;52456688440;single;TRUE;1;8000000000:66:457:0073;;"SRID=4326;POINT(30.682224 50.457191)";50.457191;30.682224;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дніпровський;UA80000000000479391;вулиця;Літинська;;10;;;;land_plot;;;1000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;by street;;none;none;none;paved;flat;dry;none;no;FALSE
53;3149392830;single;TRUE;1;8000000000:90:030:0072;;"SRID=4326;POINT(30.690147 50.35318)";50.35318;30.690147;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дарницький;UA80000000000210193;провулок;2-ий Гоголя;;8;;;;land_plot;;;937;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;;none;none;none;unpaved;flat;dry;none;no;FALSE
54;67721286070;single;TRUE;1;8000000000:90:803:0036;;"SRID=4326;POINT(30.598272 50.387492)";50.387492;30.598272;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Дарницький;UA80000000000210193;вулиця;Малоземельна;;27-б;;;;building;;;1000;;;5;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка);manual;central;unknown;central;borehole;unknown;unpaved;flat;dry;none;yes;TRUE
55;29001732050;;FALSE;;-;;"SRID=4326;POINT(30.508166 50.45085)";50.45085;30.508166;rooftop;manual;UA;м. Київ;UA80000000000093317;;;;;місто;Київ;UA80000000000093317;Шевченківський;UA80000000001078669;вулиця;Ярославів Вал;;15-б;;;;land_plot;;;1500;;;12;Для іншого історико-культурного призначення;manual;by street;unknown;by_street;by street;by street;paved;flat;dry;none;no;FALSE
